regulator,MOS (M-),GLS (M-),GLS (M+),ALS (M-),MOS (M+),ALS (M+)
RBCK1,-1.42130131483067,-0.179506582537396,1.44454676069032,-1.63252381726708,1.25475676425225,-0.100470922979024
TRIM16,-4.00684584870061,5.6240472594253,7.21092236711736,-5.29591617729899,-3.55672753986068,-3.19217867401555
DMRT2,-0.374606819317651,-1.74886318532003,-1.82633553858704,-0.0160633306139209,0.72967807394554,1.53886295754061
LBX1,-0.686297643457939,0.521798215895014,-0.443109343336436,1.41034997462532,-0.263844754623545,-0.631136680712468
KLF1,-0.902529450668279,1.97470669148202,0.696515861482765,1.30804608766566,-1.72469790847259,-0.535970754635577
CTCF,-2.37894858920123,1.52800788348799,2.15730681820784,-1.92385270953102,-1.082816086335,1.23752304816154
GMEB1,1.93920066189935,-0.561596389308652,-1.85852332630834,0.712357540366405,1.5736821877229,-2.05561516300894
TBR1,1.06874487944756,0.13203164742144,-1.25844854821215,0.557102336056187,0.184694180284172,-1.02097411212846
NFAT5,2.68291151425669,2.52503318042866,-2.16934624770478,4.00439531264137,-0.496308852127602,-2.67247521716254
TCFL5,2.40602468671648,-2.48344939576348,-2.9389991417504,1.55202285075836,2.35566665575732,2.57051765962824
SIX2,0.866928523072214,0.341928253043939,-0.981044568507981,1.51703264954901,0.0286090487908173,0.0210960732062803
PHTF1,1.0986821828701,-0.904932376784878,-2.20195976932695,1.497447975834,0.449341926940225,0.736360032640235
KDM5B,-3.57797954575469,3.00291060550151,5.05711030776893,-2.10233766651479,-4.57658639768526,0.967410222660322
ZMYND11,3.52170715728876,-2.36320571479032,-3.200724778623,2.5733001475238,0.589779688655021,2.32700751932616
ZBTB6,2.21379676821167,-1.06726034679365,-0.799605315917152,-1.91361263363996,1.57650801984715,0.813188917612428
ZNF234,2.10108506171686,0.468835670006579,-1.74642138341197,1.79706908670169,-0.147001016362469,-0.375884788155705
ZNF266,1.62812718988387,0.0806112532786552,-1.44211442887918,1.88460649546186,-0.21109394651358,-0.532737115145401
ZNF274,-1.0673664697299,1.37615928293988,2.13404431936935,-0.418052254905758,-0.826454612951179,-2.11771025222223
ZNF273,1.82150986502773,-1.01653581849892,-1.97098914080284,2.0216334371967,0.786145150820443,-0.687491415542208
ZNF460,1.15874035401243,1.50490418518451,-0.0924882626896748,0.455684458114666,-1.02252788707712,-1.68662046514301
ZNF268,0.943794811897486,-0.8941268790892,-2.51324308048618,2.44513560455332,-1.2736298960385,2.5254821702463
ZNF275,2.11510173663732,-1.43380420970858,-3.55037107584429,1.81641299532392,1.02722307434313,0.804466050841071
BRD8,1.0783015142705,-1.15144666897107,-1.02289680726952,1.13977544509476,0.13588969018911,0.799628706744275
TRAFD1,-1.44418952207673,0.114312287268045,1.35793784306804,-1.57145158693992,1.37956819879477,0.251444607253782
MSL3,5.33815691706726,-3.33995422724454,-6.16204166478644,-0.152049254656301,4.91912343213342,-4.01141205677442
ATF7,-0.724264051453234,2.34002685845948,0.619090670594383,-0.267032020115693,-1.91184283759024,0.67856654809117
VAX1,-0.90070848335806,-0.243583939416312,-0.356069857069246,-0.480770405312256,0.305848974908869,0.8051925269674
SOX30,0.284686870949197,-0.194864780070217,-0.629071129735224,1.06128838381672,-0.242149674014842,-0.476330239047881
PRDM5,2.05133139141672,-2.63341584056567,-3.47440639529526,2.84202525715929,-1.09208842639139,2.28150488172382
PRDM4,1.40501666690626,-1.379786721908,-0.910419069154637,0.0897324157615803,2.09047657433069,-0.661450934718235
